id,label,group
acuramedium,MEDIUM,size
acuralarge,LARGE,size
alfa-romeomedium,MEDIUM,size
alfa-romeosmall,SMALL,size
alfa-romeolarge,LARGE,size
alpinemedium,MEDIUM,size
arielsmall,SMALL,size
aston-martinmedium,MEDIUM,size
aston-martinlarge,LARGE,size
audilarge,LARGE,size
audimedium,MEDIUM,size
audismall,SMALL,size
bentleylarge,LARGE,size
bentleymedium,MEDIUM,size
bmwlarge,LARGE,size
bmwmedium,MEDIUM,size
bmwsmall,SMALL,size
buforimedium,MEDIUM,size
bugattimedium,MEDIUM,size
buicksmall,SMALL,size
buicklarge,LARGE,size
buickmedium,MEDIUM,size
cadillaclarge,LARGE,size
cadillacmedium,MEDIUM,size
caterhamsmall,SMALL,size
chevroletlarge,LARGE,size
chevroletsmall,SMALL,size
chevroletmedium,MEDIUM,size
chryslermedium,MEDIUM,size
citroensmall,SMALL,size
citroenmedium,MEDIUM,size
citroenlarge,LARGE,size
dacialarge,LARGE,size
daciasmall,SMALL,size
daciamedium,MEDIUM,size
daihatsusmall,SMALL,size
datsunmedium,MEDIUM,size
dodgelarge,LARGE,size
dodgemedium,MEDIUM,size
ferrarimedium,MEDIUM,size
ferrarilarge,LARGE,size
fiatsmall,SMALL,size
fiatlarge,LARGE,size
fiatmedium,MEDIUM,size
fiskerlarge,LARGE,size
fordmedium,MEDIUM,size
fordlarge,LARGE,size
fordsmall,SMALL,size
holdenmedium,MEDIUM,size
holdenlarge,LARGE,size
holdensmall,SMALL,size
hondalarge,LARGE,size
hondamedium,MEDIUM,size
hondasmall,SMALL,size
hyundailarge,LARGE,size
hyundaimedium,MEDIUM,size
hyundaismall,SMALL,size
ineoslarge,LARGE,size
infinitilarge,LARGE,size
infinitimedium,MEDIUM,size
jaguarmedium,MEDIUM,size
jaguarlarge,LARGE,size
jeeplarge,LARGE,size
jeepmedium,MEDIUM,size
kiasmall,SMALL,size
kiamedium,MEDIUM,size
kialarge,LARGE,size
koenigseggmedium,MEDIUM,size
ktmmedium,MEDIUM,size
ladamedium,MEDIUM,size
ladalarge,LARGE,size
lamborghinimedium,MEDIUM,size
lamborghinilarge,LARGE,size
lanciasmall,SMALL,size
land-roverlarge,LARGE,size
lexuslarge,LARGE,size
lexusmedium,MEDIUM,size
lightyearmedium,MEDIUM,size
lincolnlarge,LARGE,size
lincolnmedium,MEDIUM,size
lotusmedium,MEDIUM,size
lotuslarge,LARGE,size
maseratimedium,MEDIUM,size
maseratilarge,LARGE,size
mazdasmall,SMALL,size
mazdamedium,MEDIUM,size
mazdalarge,LARGE,size
mclarenmedium,MEDIUM,size
mercedes-amgmedium,MEDIUM,size
mercedes-amglarge,LARGE,size
mercedes-amgsmall,SMALL,size
mercedes-benzlarge,LARGE,size
mercedes-benzmedium,MEDIUM,size
mglarge,LARGE,size
mgmedium,MEDIUM,size
mgsmall,SMALL,size
minimedium,MEDIUM,size
minilarge,LARGE,size
minismall,SMALL,size
mitsubishilarge,LARGE,size
mitsubishimedium,MEDIUM,size
mitsubishismall,SMALL,size
morganmedium,MEDIUM,size
niolarge,LARGE,size
niomedium,MEDIUM,size
nissanmedium,MEDIUM,size
nissanlarge,LARGE,size
nissansmall,SMALL,size
opelmedium,MEDIUM,size
opellarge,LARGE,size
opelsmall,SMALL,size
paganimedium,MEDIUM,size
panozmedium,MEDIUM,size
peroduamedium,MEDIUM,size
perodualarge,LARGE,size
peugeotmedium,MEDIUM,size
peugeotlarge,LARGE,size
peugeotsmall,SMALL,size
porschemedium,MEDIUM,size
porschelarge,LARGE,size
renaultmedium,MEDIUM,size
renaultlarge,LARGE,size
renaultsmall,SMALL,size
rimacmedium,MEDIUM,size
rolls-roycemedium,MEDIUM,size
rolls-roycelarge,LARGE,size
seatmedium,MEDIUM,size
seatlarge,LARGE,size
seatsmall,SMALL,size
skodamedium,MEDIUM,size
skodalarge,LARGE,size
skodasmall,SMALL,size
smartsmall,SMALL,size
smartmedium,MEDIUM,size
spykermedium,MEDIUM,size
subarularge,LARGE,size
subarumedium,MEDIUM,size
suzukimedium,MEDIUM,size
suzukismall,SMALL,size
suzukilarge,LARGE,size
toyotalarge,LARGE,size
toyotamedium,MEDIUM,size
toyotasmall,SMALL,size
tvrmedium,MEDIUM,size
vauxhalllarge,LARGE,size
vauxhallsmall,SMALL,size
vauxhallmedium,MEDIUM,size
volkswagenmedium,MEDIUM,size
volkswagensmall,SMALL,size
volkswagenlarge,LARGE,size
volvolarge,LARGE,size
volvomedium,MEDIUM,size
wiesmannmedium,MEDIUM,size
xpengmedium,MEDIUM,size
xpenglarge,LARGE,size
zenvomedium,MEDIUM,size
